it global_time dt rho m1 m2 m3 e tracer_ism tracer_sn rhod1 rhod2 rhod3 rhod4 m1d1 m1d2 m1d3 m1d4 m2d1 m2d2 m2d3 m2d4 m3d1 m3d2 m3d3 m3d4 c1 c2 c3 c4 c5 c6 c7 c8 n1 n2 n3 n4 n5 n6 n7 n8 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
    3574  1.00000000E+00  3.36744800E-04   1.44133712E-01  3.02552014E+00  0.00000000E+00  0.00000000E+00  3.86512968E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743802E-06  1.06204536E-05  1.33696785E-09  4.03952055E-09  3.05034554E-05  1.20147736E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   7.50000000E-01  8.33333333E-02  4.16666667E-02  2.08333333E-02  1.04166667E-02  5.20833333E-03  2.73437500E-02  6.11979167E-02        9       2       2       2       2       2      21      94 |   0.00E+00  0.00E+00  1.66E+05  1.34E+02  7.67E+01  2.11E+00
    3870  1.10000000E+00  3.41185123E-04   1.44133712E-01  3.05317010E+00  0.00000000E+00  0.00000000E+00  3.86511805E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743802E-06  1.06204536E-05  1.79483730E-09  5.41338813E-09  3.30891276E-05  1.26028691E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   7.50000000E-01  8.33333333E-02  4.16666667E-02  2.08333333E-02  5.20833333E-03  5.20833333E-03  2.99479167E-02  6.38020833E-02        9       2       2       2       1       2      23      98 |   0.00E+00  0.00E+00  1.61E+05  1.39E+02  8.10E+01  2.23E+00
    4162  1.20000000E+00  3.45442071E-04   1.44133712E-01  3.07408657E+00  0.00000000E+00  0.00000000E+00  3.86510980E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743802E-06  1.06204535E-05  2.35356155E-09  7.08927452E-09  3.50018102E-05  1.30156721E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   7.50000000E-01  8.33333333E-02  4.16666667E-02  1.04166667E-02  1.04166667E-02  2.60416667E-03  3.77604167E-02  6.38020833E-02        9       2       2       1       2       1      29      98 |   0.00E+00  0.00E+00  1.59E+05  1.44E+02  8.37E+01  2.30E+00
    4450  1.30000000E+00  3.49499294E-04   1.44133712E-01  3.09028349E+00  0.00000000E+00  0.00000000E+00  3.86510390E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743801E-06  1.06204535E-05  3.02496446E-09  9.10219507E-09  3.64254434E-05  1.33075551E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   7.50000000E-01  8.33333333E-02  4.16666667E-02  1.04166667E-02  5.20833333E-03  2.60416667E-03  4.03645833E-02  6.64062500E-02        9       2       2       1       1       1      31     102 |   0.00E+00  0.00E+00  1.60E+05  1.49E+02  8.50E+01  2.33E+00
    4735  1.40000000E+00  3.53426285E-04   1.44133712E-01  3.10307705E+00  0.00000000E+00  0.00000000E+00  3.86509964E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743801E-06  1.06204535E-05  3.82110264E-09  1.14876193E-08  3.75041492E-05  1.35159872E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   7.50000000E-01  8.33333333E-02  2.08333333E-02  2.08333333E-02  5.20833333E-03  5.20833333E-03  4.55729167E-02  6.90104167E-02        9       2       1       2       1       2      35     106 |   0.00E+00  0.00E+00  1.62E+05  1.58E+02  8.82E+01  2.42E+00
    5017  1.50000000E+00  3.57169598E-04   1.44133712E-01  3.11335592E+00  0.00000000E+00  0.00000000E+00  3.86509650E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743801E-06  1.06204535E-05  4.75487371E-09  1.42832300E-08  3.83400608E-05  1.36665619E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   7.50000000E-01  8.33333333E-02  2.08333333E-02  1.04166667E-02  1.04166667E-02  1.56250000E-02  3.90625000E-02  7.03125000E-02        9       2       1       1       2       6      30     108 |   0.00E+00  0.00E+00  1.59E+05  1.59E+02  8.97E+01  2.45E+00
    5296  1.60000000E+00  3.60799590E-04   1.44133712E-01  3.12173725E+00  0.00000000E+00  0.00000000E+00  3.86509416E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743800E-06  1.06204535E-05  5.83931734E-09  1.75267660E-08  3.90024611E-05  1.37765811E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   7.50000000E-01  8.33333333E-02  2.08333333E-02  1.04166667E-02  5.20833333E-03  1.82291667E-02  4.29687500E-02  6.90104167E-02        9       2       1       1       1       7      33     106 |   0.00E+00  0.00E+00  1.56E+05  1.60E+02  9.07E+01  2.48E+00
    5572  1.70000000E+00  3.64306347E-04   1.44133712E-01  3.12866024E+00  0.00000000E+00  0.00000000E+00  3.86509237E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743800E-06  1.06204535E-05  7.08760856E-09  2.12559647E-08  3.95381723E-05  1.38578338E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   7.50000000E-01  4.16666667E-02  4.16666667E-02  2.08333333E-02  1.04166667E-02  1.56250000E-02  4.81770833E-02  7.16145833E-02        9       1       2       2       2       6      37     110 |   0.00E+00  0.00E+00  1.59E+05  1.69E+02  9.33E+01  2.55E+00
    5846  1.80000000E+00  3.67705637E-04   1.44133712E-01  3.13444422E+00  0.00000000E+00  0.00000000E+00  3.86509100E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743800E-06  1.06204535E-05  8.51304294E-09  2.55084803E-08  3.99791407E-05  1.39184403E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   7.50000000E-01  4.16666667E-02  4.16666667E-02  2.08333333E-02  5.20833333E-03  1.56250000E-02  5.85937500E-02  6.64062500E-02        9       1       2       2       1       6      45     102 |   0.00E+00  0.00E+00  1.55E+05  1.68E+02  9.44E+01  2.58E+00
    6117  1.90000000E+00  3.71043345E-04   1.44133712E-01  3.13932585E+00  0.00000000E+00  0.00000000E+00  3.86508991E+01  9.99998997E+01  1.00293255E-04  3.77052908E-07  7.41921052E-07  5.39743799E-06  1.06204535E-05  1.01299563E-08  3.03245547E-08  4.03483691E-05  1.39641140E-04  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00   7.50000000E-01  4.16666667E-02  4.16666667E-02  1.04166667E-02  1.04166667E-02  2.34375000E-02  6.38020833E-02  5.85937500E-02        9       1       2       1       2       9      49      90 |   0.00E+00  0.00E+00  1.52E+05  1.63E+02  9.27E+01  2.52E+00
